timestamp,meter_reading,air_temperature,dew_temperature,sea_level_pressure,wind_speed,wind_direction,cloud_coverage
2016-01-02 13:00:00,10.322,20.6,11.7,1018.7,3.1,10.0,6.0
2016-01-05 03:00:00,4.0808,10.6,6.7,1020.8,5.1,360.0,0.0
2016-01-09 04:00:00,5.441,15.0,15.0,1011.6,3.1,10.0,
2016-01-10 15:00:00,6.8013,17.8,11.7,1014.3,5.1,280.0,
2016-01-12 11:00:00,4.0808,14.4,1.7,1024.0,2.6,20.0,4.0
2016-01-12 17:00:00,6.4012,16.7,-4.4,1020.6,3.1,310.0,
2016-01-12 21:00:00,4.5609,11.7,1.1,1022.3,2.6,330.0,
2016-01-13 03:00:00,4.7209,9.4,3.3,1022.7,3.6,320.0,
2016-01-14 05:00:00,4.961,8.9,4.4,1021.4,2.6,10.0,
2016-01-17 20:00:00,3.8408,12.2,7.2,1015.8,0.0,0.0,
2016-01-19 01:00:00,4.7209,9.4,-0.6,1026.6,5.7,340.0,6.0
2016-01-20 12:00:00,5.6811,16.1,5.0,1027.0,2.6,320.0,2.0
2016-01-22 23:00:00,4.1608,13.3,8.9,1007.0,4.6,240.0,2.0
2016-01-24 21:00:00,6.0812,6.7,2.2,1024.0,2.6,80.0,0.0
2016-01-26 14:00:00,7.4414,23.9,14.4,1021.1,5.1,130.0,
2016-01-28 22:00:00,6.6413,16.7,15.6,1009.6,2.6,280.0,
2016-01-30 08:00:00,12.8025,8.3,7.2,1022.1,0.0,0.0,
2016-01-30 12:00:00,6.1612,20.0,4.4,1022.6,3.6,120.0,
2016-01-31 05:00:00,11.0021,12.2,10.0,1020.0,0.0,0.0,
2016-01-31 17:00:00,15.403,21.1,12.8,1018.9,2.6,170.0,
2016-02-02 23:00:00,9.8419,21.1,19.4,1019.3,4.1,130.0,0.0
2016-02-04 07:00:00,7.8415,19.4,18.3,1017.1,4.1,150.0,6.0
2016-02-05 05:00:00,4.3208,10.0,2.8,1021.9,7.7,340.0,
2016-02-06 16:00:00,6.8013,16.7,14.4,1018.1,4.6,30.0,
2016-02-07 05:00:00,4.881,7.2,5.6,1014.6,7.2,300.0,
2016-02-07 07:00:00,4.8009,7.2,5.6,1016.2,7.2,280.0,8.0
2016-02-09 13:00:00,3.5207,14.4,0.6,1016.1,8.2,270.0,6.0
2016-02-10 09:00:00,10.9621,8.9,-6.1,1023.4,5.1,310.0,4.0
2016-02-11 19:00:00,3.4407,13.3,2.2,1024.7,2.6,180.0,0.0
2016-02-12 03:00:00,5.6011,5.6,4.4,1024.5,2.1,190.0,0.0
2016-02-13 01:00:00,3.9208,13.3,11.1,1022.3,2.6,240.0,0.0
2016-02-13 09:00:00,4.1608,16.1,11.1,1024.3,5.1,330.0,2.0
2016-02-15 01:00:00,4.0008,13.9,10.6,1022.6,1.5,50.0,4.0
2016-02-15 07:00:00,4.0808,13.3,11.1,1021.0,2.6,,8.0
2016-02-17 10:00:00,6.8013,15.6,10.6,1021.7,3.6,300.0,2.0
2016-02-17 13:00:00,6.3212,20.6,10.6,1020.0,3.1,340.0,6.0
2016-02-17 23:00:00,3.5207,15.6,10.0,1023.0,3.6,320.0,0.0
2016-02-19 13:00:00,5.2010000000000005,22.8,8.3,1028.4,7.7,60.0,6.0
2016-02-19 18:00:00,6.6413,19.4,9.4,1027.3,4.1,110.0,4.0
2016-02-21 00:00:00,3.6007,12.8,11.7,1023.5,2.1,140.0,0.0
2016-02-22 05:00:00,3.4407,12.8,11.7,1016.8,0.0,0.0,
2016-02-22 08:00:00,3.4407,15.0,13.9,1018.2,1.5,120.0,
2016-02-24 17:00:00,6.2412,23.9,18.9,1009.4,6.2,210.0,
2016-02-25 11:00:00,4.5609,14.4,2.8,1021.5,7.7,300.0,2.0
2016-02-26 12:00:00,5.7611,16.1,-1.1,1024.5,7.2,300.0,0.0
2016-02-26 23:00:00,4.8009,9.4,3.3,1023.9,2.1,290.0,0.0
2016-02-27 09:00:00,3.7607,12.2,-0.6,1025.3,6.2,340.0,2.0
2016-02-28 21:00:00,4.1608,16.1,8.3,1023.2,3.1,140.0,4.0
2016-02-29 05:00:00,3.8408,12.2,9.4,1021.9,0.0,0.0,
2016-02-29 21:00:00,6.5613,17.8,12.2,1021.2,3.1,130.0,2.0
2016-03-02 19:00:00,6.8813,21.7,13.3,1017.4,3.6,280.0,4.0
2016-03-04 01:00:00,7.2014,16.7,12.8,1014.1,3.1,200.0,6.0
2016-03-04 14:00:00,5.041,23.9,9.4,1015.1,5.1,350.0,2.0
2016-03-05 11:00:00,6.0012,19.4,11.1,1021.2,2.6,350.0,
2016-03-05 21:00:00,3.6007,16.7,12.8,1019.3,3.6,60.0,4.0
2016-03-06 03:00:00,3.5207,13.3,11.1,1019.7,3.6,330.0,0.0
2016-03-07 09:00:00,5.9211,18.9,11.1,1025.7,3.1,80.0,4.0
2016-03-09 21:00:00,7.0414,20.6,15.6,1023.4,4.1,110.0,0.0
2016-03-10 18:00:00,9.4418,26.1,15.6,1021.3,5.7,140.0,4.0
2016-03-11 03:00:00,6.8013,17.2,16.1,1024.4,1.5,350.0,
2016-03-11 09:00:00,6.8813,22.2,17.8,1023.4,6.2,130.0,
2016-03-11 23:00:00,6.9613,20.0,17.2,1023.0,2.6,120.0,2.0
2016-03-12 04:00:00,7.0414,17.8,16.7,1021.1,0.0,0.0,
2016-03-12 18:00:00,10.402,26.1,16.7,1017.9,3.6,110.0,
2016-03-13 10:00:00,12.6424,25.6,19.4,1018.0,8.2,170.0,
2016-03-13 20:00:00,9.8419,24.4,18.9,1015.9,2.6,270.0,
2016-03-14 23:00:00,9.7619,22.8,20.0,1015.0,3.1,220.0,2.0
2016-03-15 12:00:00,8.8817,29.4,16.1,1016.4,3.1,,2.0
2016-03-17 18:00:00,8.6417,23.9,17.2,1014.6,9.8,350.0,
2016-03-20 22:00:00,6.3212,18.9,12.8,1014.2,6.2,280.0,
